Employee name,Email,Date of join,Password
James Walker,midlaj.wynd@gmail.com,05-06-2016,FCT0001
Velma Clemons,velmafct@yopmail.com,05-06-2016,FCT0002
Kibo Underwood,kibofct@yopmail.com,06-06-2016,FCT0003
Louis Mcgee,louisfct@yopmail.com,05-06-2016,FCT0004
Phyllis Paul,phyllisfct@yopmail.com,05-06-2016,FCT0005
Zenaida Decker,zenaidafct@yopmail.com,06-06-2016,FCT0006
Gillian Tillman,gillianfct@yopmail.com,07-06-2016,FCT0007
Constance Boone,boonefct@yopmail.com,05-06-2016,FCT0008
Giselle Lancaster,gisellefct@yopmail.com,05-06-2016,FCT0009
Kirsten Mcdowell,kirstenfct@yopmail.com,05-06-2016,FCT0010
